threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.85,0.9510489510489512,0.04487179487179482,<53,>=53,0.9166666666666666,0.8717948717948718,age_median,dice_macro
0.9,0.6263736263736264,0.2905982905982906,<53,>=53,0.7777777777777778,0.48717948717948717,age_median,dice_macro
2.0,0.91,0.05769230769230771,>=53,<53,0.6410256410256411,0.5833333333333334,age_median,hd95_macro
5.0,0.9807692307692308,0.017094017094017033,<53,>=53,0.8888888888888888,0.8717948717948718,age_median,hd95_macro
10.0,0.9978070175438597,0.002136752136752129,>=53,<53,0.9743589743589743,0.9722222222222222,age_median,hd95_macro
0.7,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,ndsc_macro
0.75,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,ndsc_macro
0.8,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,ndsc_macro
0.85,0.9510489510489512,0.04487179487179482,<53,>=53,0.9166666666666666,0.8717948717948718,age_median,ndsc_macro
0.9,0.7320954907161804,0.21581196581196582,<53,>=53,0.8055555555555556,0.5897435897435898,age_median,ndsc_macro
0.7,0.9848484848484849,0.015151515151515138,Hispanic,Non-Hispanic,1.0,0.9848484848484849,ethnicity,dice_macro
0.75,0.9848484848484849,0.015151515151515138,Hispanic,Non-Hispanic,1.0,0.9848484848484849,ethnicity,dice_macro
0.8,0.9696969696969697,0.030303030303030276,Hispanic,Non-Hispanic,1.0,0.9696969696969697,ethnicity,dice_macro
0.85,0.9625,0.03409090909090906,Non-Hispanic,Hispanic,0.9090909090909091,0.875,ethnicity,dice_macro
0.9,0.8282828282828283,0.12878787878787878,Hispanic,Non-Hispanic,0.75,0.6212121212121212,ethnicity,dice_macro
